user_id,transact_id,first_name,last_name,email,date_of_birth,address,state,country,company,job_title,ip_address,is_active,login_time,logout_time,account_created,account_updated,account_deleted,session_duration_minutes,engagement_level,product_name,price,price_tier,purchase_status,customer_lifetime_value,cohort_date,user_age_days,user_agent,device_type,os,browser
ad3c2d6d-1a3d-4fa7-bc89-60a923b8c1e9,txn_ad3c2d6d-1a3d-4fa7-bc89-60a923b8c1e9_20230825011709,Danielle,Johnson,Danielle_Johnson@example.com,2002-06-12,"79402 Peterson Drives Apt. 511
Davisstad, PA 35172",Missouri,United States,Calderon-Montgomery,Medical illustrator,132.115.151.116,yes,2023-08-25T01:17:09,2023-08-25T01:52:24.135516,2023-03-04T16:20:10,2023-09-10T21:27:04,,35.25,Low,Kappa,753.29,Budget,completed,753.29,2023-03,173,Opera/9.36.(Windows NT 5.1; tr-TR) Presto/2.9.165 Version/11.00,Desktop,Windows,Opera
88bd6407-2bcf-4e01-a28d-efe39bf00273,txn_88bd6407-2bcf-4e01-a28d-efe39bf00273_20241201181137,Elizabeth,Miles,Elizabeth_Miles@example.com,2001-08-29,"1395 Diana Locks Suite 242
Lake Anna, KS 98413",Mississippi,United States,"Snyder, Campos and Callahan","Designer, ceramics/pottery",155.4.171.58,yes,2024-12-01T18:11:37,2024-12-01T19:28:29.455301,2024-11-28T07:00:14,2024-12-29T18:01:11,,76.87,Medium,Upsilon,3934.67,Luxury,pending,3934.67,2024-11,3,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; cs-CZ) AppleWebKit/531.44.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6531.44.6",iPod,iOS,Mobile Safari
52fbe43b-9954-4eb4-8025-7ad1eb2263dd,txn_52fbe43b-9954-4eb4-8025-7ad1eb2263dd_20241211063008,James,Brooks,James_Brooks@example.com,1985-04-17,"78248 Brandt Plains
Lake Larry, TN 85681",New Hampshire,United States,Brown Inc,Theatre stage manager,2.225.128.170,yes,2024-12-11T06:30:08,2024-12-11T09:22:14.413542,2022-09-09T09:29:04,2024-12-25T06:59:31,,172.11,High,Beta,1975.8,Standard,completed,1975.8,2022-09,823,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/3.1),Desktop,Windows,IE
ceb81f9d-7914-4120-88dc-d19f3e351128,txn_ceb81f9d-7914-4120-88dc-d19f3e351128_20240729055346,Elizabeth,Lewis,Elizabeth_Lewis@example.com,1979-09-29,"33387 Robert Harbors Suite 317
North Deniseside, MP 02435",Nebraska,United States,Hancock Inc,"Development worker, international aid",56.252.171.137,no,2024-07-29T05:53:46,2024-07-29T06:42:01.429291,2022-07-25T23:26:35,2024-12-29T01:28:21,2024-12-30T19:25:51,48.26,Low,Omicron,2436.54,Standard,failed,2436.54,2022-07,734,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.10.2 (KHTML, like Gecko) Version/4.0 Safari/534.10.2",Desktop,Windows,Safari
91d63f78-e3e9-4e99-b10c-718b1eb0e38a,txn_91d63f78-e3e9-4e99-b10c-718b1eb0e38a_20240104060629,Melissa,Jones,Melissa_Jones@example.com,1968-10-18,"46247 Hickman Cliffs Apt. 799
North Amandahaven, KS 17862",Mississippi,United States,Bass-Warner,Veterinary surgeon,196.8.2.199,yes,2024-01-04T06:06:29,2024-01-04T06:42:44.444965,2022-04-17T00:15:52,2023-04-17T09:18:04,,36.26,Low,Chi,948.17,Budget,pending,948.17,2022-04,627,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/18.0.881.0 Safari/531.2",Mac,Mac OS X,Chrome
b0e6a969-e213-42b0-b1ee-dba313432e61,txn_b0e6a969-e213-42b0-b1ee-dba313432e61_20240122171815,Evan,Ramos,Evan_Ramos@example.com,1962-03-09,"PSC 0533, Box 1586
APO AP 98736",Idaho,United States,Doyle LLC,Paramedic,163.248.126.54,yes,2024-01-22T17:18:15,2024-01-22T19:34:22.476630,2023-10-27T19:49:26,2023-11-04T08:04:48,,136.12,High,Delta,3233.4,Premium,pending,3233.4,2023-10,86,Mozilla/5.0 (Windows NT 4.0; fi-FI; rv:1.9.0.20) Gecko/9115-06-22 20:09:20 Firefox/11.0,Desktop,Windows,Firefox
aa0b7b14-f2e9-402d-91e9-cdaa6e6981a3,txn_aa0b7b14-f2e9-402d-91e9-cdaa6e6981a3_20241221024420,April,Drake,April_Drake@example.com,1974-07-07,"299 Sullivan Village Apt. 443
Floydmouth, NH 58406",New Mexico,United States,"Miller, Robertson and Schultz",Legal executive,79.8.22.75,yes,2024-12-21T02:44:20,2024-12-21T03:56:05.354399,2024-12-03T10:23:25,2024-12-12T23:57:10,,71.76,Medium,Eta,1307.3,Budget,completed,1307.3,2024-12,17,Mozilla/5.0 (Android 4.3.1; Mobile; rv:61.0) Gecko/61.0 Firefox/61.0,Generic Smartphone,Android,Firefox Mobile
464c04af-3d3f-4799-a072-95e97c0e8cd8,txn_464c04af-3d3f-4799-a072-95e97c0e8cd8_20241228054028,Shannon,Walton,Shannon_Walton@example.com,1981-12-23,"316 Rivera Mountain
Brownchester, MS 77057",Missouri,United States,Evans-Price,Personnel officer,5.195.169.202,yes,2024-12-28T05:40:28,2024-12-28T08:04:54.262656,2024-09-18T00:14:29,2024-11-10T20:36:21,,144.44,High,Pi,337.49,Budget,pending,337.49,2024-09,101,Opera/8.60.(X11; Linux i686; oc-FR) Presto/2.9.179 Version/12.00,Desktop,Linux,Opera
0cdf742b-2e85-4b21-b631-de9ddde9f863,txn_0cdf742b-2e85-4b21-b631-de9ddde9f863_20221208153153,Brittany,Alvarado,Brittany_Alvarado@example.com,1969-09-30,"003 Mary Road
East David, TN 15494",Wyoming,United States,"Lawson, Adkins and Wilson","Development worker, community",194.110.177.112,yes,2022-12-08T15:31:53,2022-12-08T18:05:37.747617,2022-05-11T20:17:17,2024-03-07T16:07:49,,153.75,High,Tau,3174.5,Premium,failed,3174.5,2022-05,210,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_2; rv:1.9.6.20) Gecko/8012-05-12 09:43:08 Firefox/3.8,Mac,Mac OS X,Firefox
9c3eb2d5-91e1-4a96-b6f7-2255c01f36bf,txn_9c3eb2d5-91e1-4a96-b6f7-2255c01f36bf_20230529212453,Marcus,Sanchez,Marcus_Sanchez@example.com,1997-07-06,"36783 Brewer Overpass
Mcguireland, LA 29546",Texas,United States,Tran-Cooper,Statistician,61.10.41.149,no,2023-05-29T21:24:53,2023-05-29T21:56:14.884372,2022-05-16T01:31:37,2023-07-23T08:43:32,2024-07-07T12:17:02,31.36,Low,Delta,1677.4,Standard,completed,1677.4,2022-05,378,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/532.13.2 (KHTML, like Gecko) Version/5.0.3 Safari/532.13.2",Desktop,Windows,Safari
