user_id,first_name,last_name,email,date_of_birth,phone_number,address,city,state,postal_code,country,company,job_title,ip_address,is_active,login_time,logout_time,account_created,account_updated,account_deleted,session_duration_minutes,product_id,product_name,price,purchase_status,user_agent
ad3c2d6d-1a3d-4fa7-bc89-60a923b8c1e9,Danielle,Johnson,Danielle_Johnson@example.com,2002-06-06,+1-219-560-0133,"79402 Peterson Drives Apt. 511
Davisstad, PA 35172",Lake Stephenville,Missouri,10829,Micronesia,Calderon-Montgomery,Medical illustrator,132.115.151.116,1,2023-08-25T01:17:09,2023-08-25T01:52:24.135516,2023-03-04T16:20:10,2023-09-10T21:27:04,,35.25,c5e7ce8a-3a57-4a8e-a948-8d990bbb2599,Kappa,753.29,completed,Opera/9.36.(Windows NT 5.1; tr-TR) Presto/2.9.165 Version/11.00
88bd6407-2bcf-4e01-a28d-efe39bf00273,Elizabeth,Miles,Elizabeth_Miles@example.com,2001-08-23,527.264.8350,"1395 Diana Locks Suite 242
Lake Anna, KS 98413",Hurstfurt,Mississippi,29247,Burundi,"Snyder, Campos and Callahan","Designer, ceramics/pottery",155.4.171.58,1,2024-12-01T18:11:37,2024-12-01T19:28:29.455301,2024-11-28T07:00:14,2024-12-29T18:01:11,,76.87,61b1cd22-6280-4c45-9043-5a1098ae4334,Upsilon,3934.67,pending,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; cs-CZ) AppleWebKit/531.44.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6531.44.6"
52fbe43b-9954-4eb4-8025-7ad1eb2263dd,James,Brooks,James_Brooks@example.com,1985-04-11,3159430391,"78248 Brandt Plains
Lake Larry, TN 85681",Samuelhaven,New Hampshire,16361,Egypt,Brown Inc,Theatre stage manager,2.225.128.170,1,2024-12-11T06:30:08,2024-12-11T09:22:14.413542,2022-09-09T09:29:04,2024-12-25T06:59:31,,172.11,a18ff6b6-b535-406e-922c-9a5601d74256,Beta,1975.8,completed,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/3.1)
ceb81f9d-7914-4120-88dc-d19f3e351128,Elizabeth,Lewis,Elizabeth_Lewis@example.com,1979-09-23,311.265.6670,"33387 Robert Harbors Suite 317
North Deniseside, MP 02435",Port Melindaburgh,Nebraska,64154,Liberia,Hancock Inc,"Development worker, international aid",56.252.171.137,0,2024-07-29T05:53:46,2024-07-29T06:42:01.429291,2022-07-25T23:26:35,2024-12-29T01:28:21,2024-12-30T19:25:51,48.26,c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,Omicron,2436.54,failed,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.10.2 (KHTML, like Gecko) Version/4.0 Safari/534.10.2"
91d63f78-e3e9-4e99-b10c-718b1eb0e38a,Melissa,Jones,Melissa_Jones@example.com,1968-10-12,001-790-691-6998,"46247 Hickman Cliffs Apt. 799
North Amandahaven, KS 17862",Nicolebury,Mississippi,37854,Cayman Islands,Bass-Warner,Veterinary surgeon,196.8.2.199,1,2024-01-04T06:06:29,2024-01-04T06:42:44.444965,2022-04-17T00:15:52,2023-04-17T09:18:04,,36.26,4ca415ea-8dfa-4a56-912d-bc9aaaf91531,Chi,948.17,pending,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/18.0.881.0 Safari/531.2"
b0e6a969-e213-42b0-b1ee-dba313432e61,Evan,Ramos,Evan_Ramos@example.com,1962-03-03,+1-605-798-2620,"PSC 0533, Box 1586
APO AP 98736",East Michelle,Idaho,54541,Anguilla,Doyle LLC,Paramedic,163.248.126.54,1,2024-01-22T17:18:15,2024-01-22T19:34:22.476630,2023-10-27T19:49:26,2023-11-04T08:04:48,,136.12,b386f7a4-c991-403f-a8c1-3091444d610b,Delta,3233.4,pending,Mozilla/5.0 (Windows NT 4.0; fi-FI; rv:1.9.0.20) Gecko/9115-06-22 20:09:20 Firefox/11.0
aa0b7b14-f2e9-402d-91e9-cdaa6e6981a3,April,Drake,April_Drake@example.com,1974-07-01,+1-551-848-4656x482,"299 Sullivan Village Apt. 443
Floydmouth, NH 58406",Lowehaven,New Mexico,96964,Chile,"Miller, Robertson and Schultz",Legal executive,79.8.22.75,1,2024-12-21T02:44:20,2024-12-21T03:56:05.354399,2024-12-03T10:23:25,2024-12-12T23:57:10,,71.76,ce7ae7f6-3982-4cff-8f77-a665ac3c5640,Eta,1307.3,completed,Mozilla/5.0 (Android 4.3.1; Mobile; rv:61.0) Gecko/61.0 Firefox/61.0
464c04af-3d3f-4799-a072-95e97c0e8cd8,Shannon,Walton,Shannon_Walton@example.com,1981-12-17,443-545-5812,"316 Rivera Mountain
Brownchester, MS 77057",Port Nicoleshire,Missouri,63019,Albania,Evans-Price,Personnel officer,5.195.169.202,1,2024-12-28T05:40:28,2024-12-28T08:04:54.262656,2024-09-18T00:14:29,2024-11-10T20:36:21,,144.44,6f92f25e-45df-46b6-b82c-043f7cfc9b79,Pi,337.49,pending,Opera/8.60.(X11; Linux i686; oc-FR) Presto/2.9.179 Version/12.00
0cdf742b-2e85-4b21-b631-de9ddde9f863,Brittany,Alvarado,Brittany_Alvarado@example.com,1969-09-24,(253)775-5646x4170,"003 Mary Road
East David, TN 15494",South Holly,Wyoming,48852,Chad,"Lawson, Adkins and Wilson","Development worker, community",194.110.177.112,1,2022-12-08T15:31:53,2022-12-08T18:05:37.747617,2022-05-11T20:17:17,2024-03-07T16:07:49,,153.75,4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Tau,3174.5,failed,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_2; rv:1.9.6.20) Gecko/8012-05-12 09:43:08 Firefox/3.8
9c3eb2d5-91e1-4a96-b6f7-2255c01f36bf,Marcus,Sanchez,Marcus_Sanchez@example.com,1997-06-30,(650)275-2735x4549,"36783 Brewer Overpass
Mcguireland, LA 29546",Holtport,Texas,76726,Heard Island and McDonald Islands,Tran-Cooper,Statistician,61.10.41.149,0,2023-05-29T21:24:53,2023-05-29T21:56:14.884372,2022-05-16T01:31:37,2023-07-23T08:43:32,2024-07-07T12:17:02,31.36,3b048a8b-405b-4dc9-8e7e-d827455ac762,Delta,1677.4,completed,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/532.13.2 (KHTML, like Gecko) Version/5.0.3 Safari/532.13.2"
