full_name,email,state,login_time,logout_time,session_duration,session_duration_hours,session_duration_minutes
Richard Rangel,Richard_Rangel@example.com,Alabama,2023-12-04 05:35:17,2023-12-04 06:25:38.945760,0 days 00:50:21.945760,0.8,50.36576266666667
John Chavez,John_Chavez@example.com,Alabama,2024-02-10 00:08:44,2024-02-10 03:57:13.438598,0 days 03:48:29.438598,3.8,228.49064330000002
Adam Robinson,Adam_Robinson@example.com,Alabama,2023-10-30 18:11:47,2023-10-30 20:23:46.337482,0 days 02:11:59.337482,2.2,131.98895803333332
Victoria Macias,Victoria_Macias@example.com,Alabama,2024-01-19 20:20:13,2024-01-19 21:54:10.331676,0 days 01:33:57.331676,1.6,93.95552793333333
Anne Williams,Anne_Williams@example.com,Alabama,2023-06-21 23:46:26,2023-06-22 02:26:34.350644,0 days 02:40:08.350644,2.7,160.1391774
Whitney Hampton,Whitney_Hampton@example.com,Alabama,2023-05-27 10:05:55,2023-05-27 12:43:21.370746,0 days 02:37:26.370746,2.6,157.43951243333333
Stephen Nelson,Stephen_Nelson@example.com,Alabama,2024-11-10 22:41:05,2024-11-11 01:40:36.623412,0 days 02:59:31.623412,3.0,179.52705686666667
Mark Blair,Mark_Blair@example.com,Alabama,2023-08-04 04:15:43,2023-08-04 05:22:55.750725,0 days 01:07:12.750725,1.1,67.21251208333334
Jeffery Walton,Jeffery_Walton@example.com,Alabama,2023-06-14 22:24:51,2023-06-14 22:59:33.031787,0 days 00:34:42.031787,0.6,34.70052978333333
Edgar Turner,Edgar_Turner@example.com,Alabama,2023-07-27 14:37:21,2023-07-27 17:03:16.922729,0 days 02:25:55.922729,2.4,145.93204548333333
Jason Rogers,Jason_Rogers@example.com,Alabama,2024-08-28 08:10:12,2024-08-28 11:28:56.733236,0 days 03:18:44.733236,3.3,198.74555393333333
Christina Miller,Christina_Miller@example.com,Alabama,2022-11-23 10:08:57,2022-11-23 11:57:20.645778,0 days 01:48:23.645778,1.8,108.3940963
Emily Estrada,Emily_Estrada@example.com,Alabama,2024-06-17 00:50:06,2024-06-17 02:53:47.982039,0 days 02:03:41.982039,2.1,123.69970065000001
Benjamin Fritz,Benjamin_Fritz@example.com,Alabama,2024-06-15 16:59:51,2024-06-15 18:26:30.346195,0 days 01:26:39.346195,1.4,86.65576991666667
Matthew Ellison,Matthew_Ellison@example.com,Alabama,2024-03-10 11:36:47,2024-03-10 13:31:00.784778,0 days 01:54:13.784778,1.9,114.2297463
Kristopher Price,Kristopher_Price@example.com,Alabama,2023-04-01 01:08:17,2023-04-01 04:38:10.024225,0 days 03:29:53.024225,3.5,209.88373708333333
Kristin Gregory,Kristin_Gregory@example.com,Alabama,2023-05-18 11:14:58,2023-05-18 14:20:14.890808,0 days 03:05:16.890808,3.1,185.28151346666667
Brittany Cole,Brittany_Cole@example.com,Alabama,2024-10-30 11:46:21,2024-10-30 14:04:19.122175,0 days 02:17:58.122175,2.3,137.96870291666667
Angela Davis,Angela_Davis@example.com,Alabama,2024-11-23 16:47:18,2024-11-23 17:50:46.382008,0 days 01:03:28.382008,1.1,63.47303346666667
Kevin Mccormick,Kevin_Mccormick@example.com,Alabama,2022-08-11 11:07:42,2022-08-11 12:47:07.558287,0 days 01:39:25.558287,1.7,99.42597144999999
Tanya Kelly,Tanya_Kelly@example.com,Alabama,2023-11-18 01:35:57,2023-11-18 03:47:11.587130,0 days 02:11:14.587130,2.2,131.24311883333334
