full_name,email,state,login_time,logout_time,session_duration,session_duration_hours,session_duration_minutes
Daniel Harrison,Daniel_Harrison@example.com,Alabama,2024-12-24 18:16:33,2024-12-24 22:03:26.569138,0 days 03:46:53.569138,3.8,226.89281896666668
Terry Ellis,Terry_Ellis@example.com,Alabama,2024-10-23 16:18:24,2024-10-23 19:03:10.799236,0 days 02:44:46.799236,2.7,164.77998726666667
Justin Diaz,Justin_Diaz@example.com,Alabama,2024-11-12 20:04:07,2024-11-12 22:41:58.288296,0 days 02:37:51.288296,2.6,157.85480493333336
Richard Rangel,Richard_Rangel@example.com,Alabama,2023-12-04 05:35:17,2023-12-04 06:25:38.945760,0 days 00:50:21.945760,0.8,50.36576266666667
Jonathan Martinez,Jonathan_Martinez@example.com,Alabama,2023-08-07 03:23:30,2023-08-07 04:48:25.676505,0 days 01:24:55.676505,1.4,84.92794175
Joe Yates,Joe_Yates@example.com,Alabama,2024-05-18 04:15:33,2024-05-18 08:01:52.485666,0 days 03:46:19.485666,3.8,226.32476110000002
Amanda Hanson,Amanda_Hanson@example.com,Alabama,2023-11-10 00:28:34,2023-11-10 02:54:57.975495,0 days 02:26:23.975495,2.4,146.39959158333335
Michael Rodgers,Michael_Rodgers@example.com,Alabama,2024-08-05 09:03:58,2024-08-05 11:56:32.432459,0 days 02:52:34.432459,2.9,172.57387431666666
Thomas Kelley,Thomas_Kelley@example.com,Alabama,2024-12-24 23:44:52,2024-12-25 02:37:24.899224,0 days 02:52:32.899224,2.9,172.54832040000002
Seth Smith,Seth_Smith@example.com,Alabama,2024-06-21 17:54:50,2024-06-21 20:55:59.386920,0 days 03:01:09.386920,3.0,181.15644866666668
Todd Grant,Todd_Grant@example.com,Alabama,2023-01-25 20:03:18,2023-01-25 21:36:40.231883,0 days 01:33:22.231883,1.6,93.37053138333334
Martha Cook,Martha_Cook@example.com,Alabama,2024-06-16 18:38:29,2024-06-16 20:17:38.545076,0 days 01:39:09.545076,1.7,99.1590846
Donna Landry,Donna_Landry@example.com,Alabama,2024-06-08 12:58:50,2024-06-08 14:43:09.320021,0 days 01:44:19.320021,1.7,104.32200035000001
Randy Lopez,Randy_Lopez@example.com,Alabama,2024-12-15 23:23:48,2024-12-16 02:36:02.393224,0 days 03:12:14.393224,3.2,192.23988706666665
Erin Holmes,Erin_Holmes@example.com,Alabama,2024-12-28 06:38:13,2024-12-28 10:31:38.937794,0 days 03:53:25.937794,3.9,233.43229656666665
Jamie Chavez,Jamie_Chavez@example.com,Alabama,2024-03-27 06:58:07,2024-03-27 10:17:54.718095,0 days 03:19:47.718095,3.3,199.79530158333333
Lisa Hawkins,Lisa_Hawkins@example.com,Alabama,2024-01-24 01:15:48,2024-01-24 03:26:26.357217,0 days 02:10:38.357217,2.2,130.63928694999998
Megan Garcia,Megan_Garcia@example.com,Alabama,2024-03-24 17:20:52,2024-03-24 18:50:40.366055,0 days 01:29:48.366055,1.5,89.80610091666668
Sean Bennett,Sean_Bennett@example.com,Alabama,2024-02-29 07:24:12,2024-02-29 11:06:54.932626,0 days 03:42:42.932626,3.7,222.71554376666666
Travis Gomez,Travis_Gomez@example.com,Alabama,2022-10-19 08:43:43,2022-10-19 11:52:14.295707,0 days 03:08:31.295707,3.1,188.52159511666665
Joseph Holland,Joseph_Holland@example.com,Alabama,2024-12-26 10:04:03,2024-12-26 13:35:12.220498,0 days 03:31:09.220498,3.5,211.15367496666667
Zachary Howard,Zachary_Howard@example.com,Alabama,2024-12-06 09:18:40,2024-12-06 12:20:18.622156,0 days 03:01:38.622156,3.0,181.64370259999998
Mark Brown,Mark_Brown@example.com,Alabama,2023-11-03 00:37:49,2023-11-03 03:13:12.595523,0 days 02:35:23.595523,2.6,155.39325871666668
Alan Olson,Alan_Olson@example.com,Alabama,2023-06-30 02:12:54,2023-06-30 04:54:27.656626,0 days 02:41:33.656626,2.7,161.56094376666667
Shawn Hudson,Shawn_Hudson@example.com,Alabama,2024-08-07 20:58:51,2024-08-08 00:32:48.304073,0 days 03:33:57.304073,3.6,213.95506788333333
Heather Mendoza,Heather_Mendoza@example.com,Alabama,2024-08-22 17:32:46,2024-08-22 18:47:17.358888,0 days 01:14:31.358888,1.2,74.52264813333333
Michelle Munoz,Michelle_Munoz@example.com,Alabama,2024-02-19 23:34:32,2024-02-20 02:13:59.754727,0 days 02:39:27.754727,2.7,159.46257878333333
Brett Murray,Brett_Murray@example.com,Alabama,2024-07-16 06:54:58,2024-07-16 10:38:34.824741,0 days 03:43:36.824741,3.7,223.61374568333335
Brittney Morales,Brittney_Morales@example.com,Alabama,2022-07-16 14:41:58,2022-07-16 15:43:58.514718,0 days 01:02:00.514718,1.0,62.00857863333333
Donna Barnett,Donna_Barnett@example.com,Alabama,2024-01-12 23:32:52,2024-01-13 02:47:49.880784,0 days 03:14:57.880784,3.2,194.96467973333336
Nancy Jackson,Nancy_Jackson@example.com,Alabama,2024-10-13 16:32:05,2024-10-13 17:37:23.052295,0 days 01:05:18.052295,1.1,65.30087158333333
Jacob Brennan,Jacob_Brennan@example.com,Alabama,2024-04-08 06:22:17,2024-04-08 08:35:12.178158,0 days 02:12:55.178158,2.2,132.91963596666668
Renee Watson,Renee_Watson@example.com,Alabama,2023-06-06 14:48:18,2023-06-06 15:48:17.948642,0 days 00:59:59.948642,1.0,59.99914403333333
Jason Rogers,Jason_Rogers@example.com,Alabama,2024-08-28 08:10:12,2024-08-28 11:28:56.733236,0 days 03:18:44.733236,3.3,198.74555393333333
Jeffery Walton,Jeffery_Walton@example.com,Alabama,2023-06-14 22:24:51,2023-06-14 22:59:33.031787,0 days 00:34:42.031787,0.6,34.70052978333333
Stephen Nelson,Stephen_Nelson@example.com,Alabama,2024-11-10 22:41:05,2024-11-11 01:40:36.623412,0 days 02:59:31.623412,3.0,179.52705686666667
Cathy Finley,Cathy_Finley@example.com,Alabama,2022-05-09 04:02:02,2022-05-09 07:49:44.605191,0 days 03:47:42.605191,3.8,227.71008651666668
Steven Williams,Steven_Williams@example.com,Alabama,2024-08-07 07:25:48,2024-08-07 08:26:26.626185,0 days 01:00:38.626185,1.0,60.643769750000004
Patricia Oliver,Patricia_Oliver@example.com,Alabama,2023-04-12 19:46:15,2023-04-12 22:25:21.600743,0 days 02:39:06.600743,2.7,159.11001238333336
Raven Rose,Raven_Rose@example.com,Alabama,2024-05-24 14:50:21,2024-05-24 18:04:46.637479,0 days 03:14:25.637479,3.2,194.42729131666667
Edgar Turner,Edgar_Turner@example.com,Alabama,2023-07-27 14:37:21,2023-07-27 17:03:16.922729,0 days 02:25:55.922729,2.4,145.93204548333333
Elizabeth Davidson,Elizabeth_Davidson@example.com,Alabama,2024-07-31 22:04:53,2024-07-31 23:28:27.462621,0 days 01:23:34.462621,1.4,83.57437701666666
James Henderson,James_Henderson@example.com,Alabama,2024-02-29 09:40:00,2024-02-29 12:10:31.295045,0 days 02:30:31.295045,2.5,150.52158408333335
Jeremiah Snyder,Jeremiah_Snyder@example.com,Alabama,2024-11-04 05:41:11,2024-11-04 06:31:52.810738,0 days 00:50:41.810738,0.8,50.69684563333333
Leslie Morales,Leslie_Morales@example.com,Alabama,2023-09-20 11:53:51,2023-09-20 12:33:05.877632,0 days 00:39:14.877632,0.7,39.247960533333334
Jaclyn Henson,Jaclyn_Henson@example.com,Alabama,2024-11-25 21:59:15,2024-11-26 00:09:16.409206,0 days 02:10:01.409206,2.2,130.02348676666668
Kristin Gregory,Kristin_Gregory@example.com,Alabama,2023-05-18 11:14:58,2023-05-18 14:20:14.890808,0 days 03:05:16.890808,3.1,185.28151346666667
Julian Wright,Julian_Wright@example.com,Alabama,2024-03-10 23:07:02,2024-03-10 23:56:13.659559,0 days 00:49:11.659559,0.8,49.194325983333336
Sara Evans,Sara_Evans@example.com,Alabama,2024-12-17 22:42:26,2024-12-17 23:50:47.461457,0 days 01:08:21.461457,1.1,68.35769095
Brian Herrera,Brian_Herrera@example.com,Alabama,2022-10-17 04:03:03,2022-10-17 07:39:23.167629,0 days 03:36:20.167629,3.6,216.33612714999998
